pt,au,ti,so,py,vl,bp,ep,ar,hit,impact,impact_metric,impact_notes,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,aut_loc,multiple_loc,location_notes,phylum,lat5,lon5,lat6,lon6,lat7,lon7,lat8,lon8,lat9,lon9,province,topic,subtopic,impact_method,species,column,iucn_no
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Paracerceis sculpta,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Paradella dianae,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Paradella dianae,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Paranthura japonica,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Paranthura japonica,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Sphaeroma walkeri,iucn_no1,15.11
J,"Martinez-Laiz, G; Rose, M; Guerra-Garcia, JM",Marine exotic isopods from the Iberian Peninsula and nearby waters,PEERJ,2018,6,NA,NA,e4408,Exotic/crustacea,no,"NA","NA",43.441415999999997,-3.8041040000000002,36.713934000000002,-4.4045160000000001,"NA","NA","NA","NA","NA",Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Sphaeroma walkeri,iucn_no1,15.11
J,"Abdelsalam, KM","First record of the exotic lysmatid shrimp Lysmata vittata (Stimpson, 1860) (Decapoda: Caridea: Lysmatidae) from the Egyptian Mediterranean coast",MEDITERRANEAN MARINE SCIENCE,2018,19,124,131,NA,Alien/crustacea,no,"NA","NA",31.523073,31.843278000000002,"NA","NA","NA","NA","NA","NA",ras_el_bar,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Lysmata vittata,iucn_no1,unknown
J,"Kevrekidis, K; Antoniadou, C","ABUNDANCE AND POPULATION STRUCTURE OF THE BLUE CRAB CALLINECTES SAPIDUS (DECAPODA, PORTUNIDAE) IN THERMAIKOS GULF (METHONI BAY), NORTHERN AEGEAN SEA",CRUSTACEANA,2018,91,641,657,NA,Alien/crustacea,no,"NA","NA",40.557555999999998,22.823025000000001,"NA","NA","NA","NA","NA","NA",methoni_bay,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Callinectes sapidus,iucn_no1,9.4559999999999995
J,"Felix-Hackradt, FC; Sanchis-Martinez, AM; Hackradt, CW; Trevino-Oton, J; Garcia-Charton, JA","Distribution and ecological relations among the alien crab, Percnon gibbesi (H. Milne-Edwards 1853) and autochthonous species, in and out of an SW Mediterranean MPA",HYDROBIOLOGIA,2018,806,187,201,NA,Alien/crustacean,no,"NA","NA",37.643332999999998,-0.68333299999999997,"NA","NA","NA","NA","NA","NA",cabo_de_palos,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Percnon gibbesi,iucn_no1,12.1
J,"Pezy, JP; Baffreau, A; Dauvin, JC","Records of two introduced Penaeidae (Crustacea: Decapoda) species from Le Havre Harbour, France, English Channel",BIOINVASIONS RECORDS,2017,6,363,367,NA,Introduced/crustacea/non-native/alien,no,"NA","NA",49.486162999999998,0.113603,"NA","NA","NA","NA","NA","NA",le_havre_harbour,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,distribution,NA,NA,Penaeus japonicus,iucn_no1,15.11
J,"Pezy, JP; Baffreau, A; Dauvin, JC","Records of two introduced Penaeidae (Crustacea: Decapoda) species from Le Havre Harbour, France, English Channel",BIOINVASIONS RECORDS,2017,6,363,367,NA,Introduced/crustacea/non-native/alien,no,"NA","NA",49.486162999999998,0.113603,"NA","NA","NA","NA","NA","NA",le_havre_harbour,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,distribution,NA,NA,Penaeus semisulcatus,iucn_no1,15.11
J,"Molina, S; Ros, M; Guerra-Garcia, JM","Distribution of the Invasive Caprellid Caprella scaura (Crustacea: Amphipoda) in Cadiz Marina, Southern Spain: Implications for its Dispersal",THALASSAS,2017,33,81,86,NA,Invasive/crustaceans/alien,no,"NA","NA",36.541389000000002,-6.3002779999999996,"NA","NA","NA","NA","NA","NA",puerto_america_marina,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Caprella scaura,iucn_no1,15.11
J,"Ferry, R; Buske, Y; Poupin, J; Smith-Ravin, J","First record of the invasive swimming crab Charybdis hellerii (A. Milne Edwards, 1867) (Crustacea, Portunidae) off Martinique, French Lesser Antilles",BIOINVASIONS RECORDS,2017,6,239,247,NA,Invasive/custacea/introduced/alien/non-indigenous,no,"NA","NA",14.502980000000001,-61.086111000000002,"NA","NA","NA","NA","NA","NA",southwestern_peninsula,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,distribution,NA,NA,Charybdis (Charybdis) hellerii,iucn_no1,9.9
J,"Ferry, R; Buske, Y; Poupin, J; Smith-Ravin, J","First record of the invasive swimming crab Charybdis hellerii (A. Milne Edwards, 1867) (Crustacea, Portunidae) off Martinique, French Lesser Antilles",BIOINVASIONS RECORDS,2017,6,239,247,NA,Invasive/custacea/introduced/alien/non-indigenous,no,"NA","NA",14.502980000000001,-61.086111000000002,"NA","NA","NA","NA","NA","NA",southwestern_peninsula,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,distribution,NA,NA,Charybdis (Charybdis) hellerii,icun_no2,9.8
J,"Ferry, R; Buske, Y; Poupin, J; Smith-Ravin, J","First record of the invasive swimming crab Charybdis hellerii (A. Milne Edwards, 1867) (Crustacea, Portunidae) off Martinique, French Lesser Antilles",BIOINVASIONS RECORDS,2017,6,239,247,NA,Invasive/custacea/introduced/alien/non-indigenous,no,"NA","NA",14.502980000000001,-61.086111000000002,"NA","NA","NA","NA","NA","NA",southwestern_peninsula,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,distribution,NA,NA,Charybdis (Charybdis) hellerii,iucn_no3,9.7
J,"Ferry, R; Buske, Y; Poupin, J; Smith-Ravin, J","First record of the invasive swimming crab Charybdis hellerii (A. Milne Edwards, 1867) (Crustacea, Portunidae) off Martinique, French Lesser Antilles",BIOINVASIONS RECORDS,2017,6,239,247,NA,Invasive/custacea/introduced/alien/non-indigenous,no,"NA","NA",14.502980000000001,-61.086111000000002,"NA","NA","NA","NA","NA","NA",southwestern_peninsula,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,distribution,NA,NA,Charybdis (Charybdis) hellerii,iucn_no4,9.23
J,"Galil, BS; Levitt-Barmats, Y; Lubinevsky, H; Yudkovsky, Y; Paz, G; Rinkevich, B","A record of Arcania brevifrons Chen, 1989 (Crustacea; Decapoda; Leucosiidae) from the Mediterranean coast of Israel",BIOINVASIONS RECORDS,2017,6,249,253,NA,Crustacea/non-indigenous,no,"NA","NA",31.811157999999999,34.633408000000003,"NA","NA","NA","NA","NA","NA",ashdod,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Arcania brevifrons,iucn_no1,9.1
J,"Galil, BS; Innocenti, G; Douek, J; Paz, G; Rinkevich, B","Foul play? On the rapid spread of the brown shrimp Penaeus aztecus Ives, 1891 (Crustacea, Decapoda, Penaeidae) in the Mediterranean, with new records from the Gulf of Lion and the southern Levant",MARINE BIODIVERSITY,2017,47,979,985,NA,Crustacea/alien/introduced,no,"NA","NA",31.916217,34.63485,"NA","NA","NA","NA","NA","NA",palmahim,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Penaeus aztecus,iucn_no1,9.1
J,"Suaria, G; Pierucci, A; Zanello, P; Fanelli, E; Chiesa, S; Azzurro, E","Percnon gibbesi (H. Milne Edwards, 1853) and Callinectes sapidus (Rathbun, 1896) in the Ligurian Sea: two additional invasive species detections made in collaboration with local fishermen",BIOINVASIONS RECORDS,2017,6,147,151,NA,Invasive/non-indigenous/crustacea,no,"NA","NA",44.391694000000001,8.9604440000000007,"NA","NA","NA","NA","NA","NA",genoa,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Percnon gibbesi,iucn_no1,9.23
J,"Suaria, G; Pierucci, A; Zanello, P; Fanelli, E; Chiesa, S; Azzurro, E","Percnon gibbesi (H. Milne Edwards, 1853) and Callinectes sapidus (Rathbun, 1896) in the Ligurian Sea: two additional invasive species detections made in collaboration with local fishermen",BIOINVASIONS RECORDS,2017,6,147,151,NA,Invasive/non-indigenous/crustacea,no,"NA","NA",44.391694000000001,8.9604440000000007,"NA","NA","NA","NA","NA","NA",genoa,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Callinectes sapidus,iucn_no1,9.23
J,"Mannino, AM; Parasporo, M; Crocetta, F; Balistreri, P",An updated overview of the marine alien and cryptogenic species from the Egadi Islands Marine Protected Area (Italy),MARINE BIODIVERSITY,2017,47,469,480,NA,Alien/arthropoda,no,"NA","NA",37.962242000000003,12.232438,"NA","NA","NA","NA","NA","NA",egadi_islands,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Percnon gibbesi,iucn_no1,9.23
J,"Mannino, AM; Parasporo, M; Crocetta, F; Balistreri, P",An updated overview of the marine alien and cryptogenic species from the Egadi Islands Marine Protected Area (Italy),MARINE BIODIVERSITY,2017,47,469,480,NA,Alien/arthropoda,no,"NA","NA",37.962242000000003,12.232438,"NA","NA","NA","NA","NA","NA",egadi_islands,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Percnon gibbesi,icun_no2,9.456
J,"Gillon, A; Costa, AC; Micael, J","Caprella scaura Templeton, 1836: an invasive caprellid new to the Azores archipelago",MARINE BIODIVERSITY,2017,47,499,510,NA,Invasive/non-native/non-indigenous/crustacea,no,"NA","NA",37.737481000000002,-25.666675000000001,"NA","NA","NA","NA","NA","NA",ponta_delgada_marina,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Caprella scaura,iucn_no1,15.11
J,"Spiridonov, VA; Zalota, AK",Understanding and forecasting dispersal of non-indigenous marine decapods (Crustacea: Decapoda) in East European and North Asian waters,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,2017,97,591,611,NA,Non-indigenous/crustacea/alien/invasive,no,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",distribution,NA,NA,review,iucn_no1,"NA"
J,"Marchini, A; Cardeccia, A","Alien amphipods in a sea of troubles: cryptogenic species, unresolved taxonomy and overlooked introductions",MARINE BIOLOGY,2017,164,NA,NA,UNSP 69,Alien/invasive/crustacea,no,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",distribution,NA,NA,review,iucn_no1,"NA"
J,"Normant-Saremba, M; Marszewska, L; Kerckhof, F","First record of the North American amphipod Melita nitida Smith, 1873 in Polish coastal waters",OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,2017,46,108,115,NA,Non-indigenous/introduced/crustacea,no,"NA","NA",54.536405000000002,18.536051,"NA","NA","NA","NA","NA","NA",port_of_gdynia,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,distribution,NA,NA,Melita nitida,iucn_no1,15.11
J,"Kondylatos, G; Corsini-Foka, M","Penaeus hathor (Burkenroad, 1959) (Crustacea: Decapoda: Penaeidae) in Rhodian waters (Aegean Sea)",CAHIERS DE BIOLOGIE MARINE,2017,58,491,495,NA,Crustacea/non-native/alien,no,"NA","NA",36.387332999999998,28.257667000000001,"NA","NA","NA","NA","NA","NA",gulf_of_trianda,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Penaeus hathor,iucn_no1,9.4559999999999995
J,"Insacco, G; Zava, B; Corsini-Foka, M","Trachysalambria palaestinensis (Steinitz, 1932) (Decapoda: Penaeidae), a new alien prawn for the Italian waters",CAHIERS DE BIOLOGIE MARINE,2017,58,497,500,NA,Alien/crustacea,no,"NA","NA",36.777366999999998,14.560567000000001,"NA","NA","NA","NA","NA","NA",marina_di_ragusa,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,distribution,NA,NA,Trachysalambria palaestinensis,iucn_no1,9.4559999999999995
J,"Trichkova, T; Kutsarov, Y; Todorov, M; Puky, M; Hubenov, Z","The Chinese Mitten Crab Eriocheir sinensis H. Milne Edwards, 1853 (Crustacea: Decapoda: Varunidae), a New Invasive Alien Species to the Bulgarian Fauna",ACTA ZOOLOGICA BULGARICA,2017,NA,149,154,NA,Crustacea/invasive/alien,no,"NA","NA",45.199209000000003,29.684988000000001,"NA","NA","NA","NA","NA","NA",danube_river,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,distribution,NA,NA,Eriocheir sinensis,iucn_no1,9.10
J,"Ramalhosa, P; Nebra, A; Gestoso, I; Canning-Clode, J","FIRST RECORD OF THE NON-INDIGENOUS ISOPODS PARACERCEIS SCULPTA (HOLMES, 1904) AND SPHAEROMA WALKERI STEBBING, 1905 (ISOPODA, SPHAEROMATIDAE) FOR MADEIRA ISLAND",CRUSTACEANA,2017,90,1747,1764,NA,Non-indigenous/crustaceans/introduced,no,"NA","NA",32.6449,-16.973994000000001,"NA","NA","NA","NA","NA","NA",madeira_island,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Paracerceis sculpta,iucn_no1,15.11
J,"Ramalhosa, P; Nebra, A; Gestoso, I; Canning-Clode, J","FIRST RECORD OF THE NON-INDIGENOUS ISOPODS PARACERCEIS SCULPTA (HOLMES, 1904) AND SPHAEROMA WALKERI STEBBING, 1905 (ISOPODA, SPHAEROMATIDAE) FOR MADEIRA ISLAND",CRUSTACEANA,2017,90,1747,1764,NA,Non-indigenous/crustaceans/introduced,no,"NA","NA",32.6449,-16.973994000000001,"NA","NA","NA","NA","NA","NA",madeira_island,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Sphaeroma walkeri,iucn_no1,15.11
J,"Shalovenkov, N",Non-native zoobenthic species of the Crimean Black Sea Coast,MEDITERRANEAN MARINE SCIENCE,2017,18,260,270,NA,Non-native/alien/crustacea/introduced,no,"NA","NA",45.066735999999999,33.553578000000002,"NA","NA","NA","NA","NA","NA",crimea,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,distribution,NA,NA,Rhithropanopeus harrisii,iucn_no1,9.23
J,"Shalovenkov, N",Non-native zoobenthic species of the Crimean Black Sea Coast,MEDITERRANEAN MARINE SCIENCE,2017,18,260,270,NA,Non-native/alien/crustacea/introduced,no,"NA","NA",45.066735999999999,33.553578000000002,"NA","NA","NA","NA","NA","NA",crimea,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,distribution,NA,NA,Rhithropanopeus harrisii,icun_no2,9.456
J,"Shalovenkov, N",Non-native zoobenthic species of the Crimean Black Sea Coast,MEDITERRANEAN MARINE SCIENCE,2017,18,260,270,NA,Non-native/alien/crustacea/introduced,no,"NA","NA",45.066735999999999,33.553578000000002,"NA","NA","NA","NA","NA","NA",crimea,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,distribution,NA,NA,Amphibalanus improvisus,iucn_no1,9.23
J,"Shalovenkov, N",Non-native zoobenthic species of the Crimean Black Sea Coast,MEDITERRANEAN MARINE SCIENCE,2017,18,260,270,NA,Non-native/alien/crustacea/introduced,no,"NA","NA",45.066735999999999,33.553578000000002,"NA","NA","NA","NA","NA","NA",crimea,"NA","NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,distribution,NA,NA,Amphibalanus improvisus,icun_no2,9.456
J,"Gouillieux, B","New records of benthic amphipods, Jassa slatteryi Conlan, 1990 and Ampithoe valida Smith, 1873 (Crustacea: Peracarida: Amphipoda) for the Bay of Biscay, France, with morphological notes",CAHIERS DE BIOLOGIE MARINE,2017,58,279,289,NA,Crustacea/non-native/alien,no,"NA","NA",44.645229999999998,-1.2381880000000001,"NA","NA","NA","NA","NA","NA",arcachon_bay/hossegor_lake,Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Jassa slatteryi,iucn_no1,13.4
J,"Gouillieux, B","New records of benthic amphipods, Jassa slatteryi Conlan, 1990 and Ampithoe valida Smith, 1873 (Crustacea: Peracarida: Amphipoda) for the Bay of Biscay, France, with morphological notes",CAHIERS DE BIOLOGIE MARINE,2017,58,279,289,NA,Crustacea/non-native/alien,no,"NA","NA",44.645229999999998,-1.2381880000000001,"NA","NA","NA","NA","NA","NA",arcachon_bay/hossegor_lake,Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,distribution,NA,NA,Ampithoe valida,iucn_no1,13.4
J,"Diemer, N; Griffiths, CL; Hodgson, A","Disentangling the identities and distribution patterns of the introduced beachfleas Orchestia gammarellus and Platorchestia platensis (Crustacea: Amphipoda: Talitridae) in South Africa (vol 51, pg 203, 2016)",AFRICAN ZOOLOGY,2017,52,75,75,NA,Introduced/crustacea,no,"NA","NA",-32.645105000000001,18.078811999999999,-33.918967000000002,25.654924999999999,"NA","NA","NA","NA",south_coast,Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,descriptive,NA,NA,Orchestia gammarellus,iucn_no1,9.10
J,"Diemer, N; Griffiths, CL; Hodgson, A","Disentangling the identities and distribution patterns of the introduced beachfleas Orchestia gammarellus and Platorchestia platensis (Crustacea: Amphipoda: Talitridae) in South Africa (vol 51, pg 203, 2016)",AFRICAN ZOOLOGY,2017,52,75,75,NA,Introduced/crustacea,no,"NA","NA",-32.645105000000001,18.078811999999999,-33.918967000000002,25.654924999999999,"NA","NA","NA","NA",south_coast,Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,descriptive,NA,NA,Orchestia gammarellus,icun_no2,13.4
J,"Diemer, N; Griffiths, CL; Hodgson, A","Disentangling the identities and distribution patterns of the introduced beachfleas Orchestia gammarellus and Platorchestia platensis (Crustacea: Amphipoda: Talitridae) in South Africa (vol 51, pg 203, 2016)",AFRICAN ZOOLOGY,2017,52,75,75,NA,Introduced/crustacea,no,"NA","NA",-32.645105000000001,18.078811999999999,-33.918967000000002,25.654924999999999,"NA","NA","NA","NA",south_coast,Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,descriptive,NA,NA,Orchestia gammarellus,iucn_no1,9.10
J,"Diemer, N; Griffiths, CL; Hodgson, A","Disentangling the identities and distribution patterns of the introduced beachfleas Orchestia gammarellus and Platorchestia platensis (Crustacea: Amphipoda: Talitridae) in South Africa (vol 51, pg 203, 2016)",AFRICAN ZOOLOGY,2017,52,75,75,NA,Introduced/crustacea,no,"NA","NA",-32.645105000000001,18.078811999999999,-33.918967000000002,25.654924999999999,"NA","NA","NA","NA",south_coast,Y,"NA",Arthropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,descriptive,NA,NA,Orchestia gammarellus,icun_no2,13.4
